カテゴリ,質問,回答,参照URL
婦人科,女医さんによる診察を受けられますか？,診療体制表でご確認ください（●印が女性医師）。診察状況により担当医師が変更になる場合があります。,https://www.kanai.or.jp/qa/
婦人科,子宮がん検診を受けたい。予約なしで行っていい？,予約がなくても診療受付時間内であれば随時検査を行っています（出血のない時に受診）。夜診は予約制ではないため直接来院してください。,https://www.kanai.or.jp/qa/
予約/電話,電話予約はできますか？,予約はお電話で承ります。番号非通知のお電話には対応できません。電話受付時間：平日9:00〜16:00／土曜9:00〜12:00（※第3土曜日休診）。受診希望日の2日前までにご連絡ください。,https://www.kanai.or.jp/qa/
婦人科,子宮がん検診（検査）の費用はいくら？,費用は検査内容によって異なります。詳細は『子宮がん検診』ページをご確認ください。,https://www.kanai.or.jp/qa/
検査,子宮がん検査や性病検査の結果はいつ出ますか？,当日に結果は出ません。検査により異なりますが、1〜2週間ほど必要です。,https://www.kanai.or.jp/qa/
検査,乳がん検診はやっていますか？,乳がん検診は現在行っていません。取扱については各医療機関にお問い合わせください。,https://www.kanai.or.jp/qa/
婦人科,不妊治療はやっていますか？,一般不妊相談（タイミング療法・排卵誘発法〔内服薬処方〕のみ）は可能です。対応可能日は診療体制表で確認してください。夜診での対応は行っていません。,https://www.kanai.or.jp/qa/
婦人科/ピル,避妊用ピルの料金はどれくらい？,"初回は初診料1,080円＋検査料。低用量ピル処方の場合は年1回、子宮頸がん検診・血液検査・超音波検査（約5,000円）を行います。処方は最長3か月分で、1回の処方は3,240円×月数分。来院時に血圧・体重測定があります。",https://www.kanai.or.jp/qa/
婦人科/緊急避妊,アフターピルは処方してもらえますか？,診療時間内に随時対応可能です。,https://www.kanai.or.jp/qa/
婦人科/手術,中絶手術は可能？,可能ですが、週数や手術日の関係などで対応できない場合があります。詳細は来院のうえ医師とご相談ください。,https://www.kanai.or.jp/qa/
教室,どんな教室がありますか？,妊娠中・産後に受講できるクラスを開催しています。,https://www.kanai.or.jp/qa/
教室,教室の予約方法は？,WEB予約からご予約いただけます。,https://www.kanai.or.jp/qa/
教室,他院で分娩予定ですが、教室だけ受講できますか？,現在、当院通院中の方を対象に開講しています。,https://www.kanai.or.jp/qa/
教室,他院で受診中ですが、マタニティヨーガだけ受けられますか？,現在、当院通院中の方を対象に開講しています。,https://www.kanai.or.jp/qa/
教室,離乳食指導は予約が必要？,現在、離乳食指導は休止しています。ご了承ください。,https://www.kanai.or.jp/qa/
基本情報,住所はどこですか？,大阪府大阪市城東区今福西1-2-8 です。,https://www.kanai.or.jp/
基本情報,電話番号を教えてください。,TEL：06-6931-2391（※番号非通知のお電話には対応できません）,https://www.kanai.or.jp/
アクセス,最寄り駅からのアクセスは？,大阪メトロ長堀鶴見緑地線・今里筋線『蒲生四丁目』駅 3号出口より南へ徒歩3分。JR学研都市線・おおさか東線『鴫野』駅から徒歩10分。大阪シティバス21・35号系統『新喜多大橋』バス停（35号系統）下車すぐ。,https://www.kanai.or.jp/
診療時間,診療時間は？,午前診 9:00〜11:30（月〜土）、午後診 13:00〜14:30（月・水〜金）、夜診 17:30〜19:00（月・水）。休診日：日曜・祝日・第3・5土曜日。,https://www.kanai.or.jp/
予約,再診のWEB予約はできますか？,再診はWEB予約ページから予約できます。妊婦健診はできるだけ午前診・午後診に予約を取るよう案内されています。,https://www.kanai.or.jp/
面会,面会の時間を教えてください。,全日 14:00〜20:00（土・日・祝も同じ）です。,https://www.kanai.or.jp/news/meeting.php
面会,面会について教えてください。,面会ができるのは、患者さまのご親族（例：夫・子・父母・兄弟姉妹など）です。患者さまにご負担のない人数・時間でお願いいたします。,https://www.kanai.or.jp/news/meeting.php
,電話番号,金井産婦人科の電話番号は 06-6931-2391 です。番号非通知のお電話には対応できませんのでご注意ください。,https://www.kanai.or.jp/
